east_m,north_m,vx_pred,vz_pred,vx_std,vz_std,speed_pred,speed_std
-27.673071,-332.032269,0.297497,-0.083827,0.276850,0.230242,0.309082,0.273692
-23.575661,-332.032269,0.290391,-0.118780,0.305990,0.237880,0.313744,0.297188
-19.478252,-332.032269,0.238938,-0.140292,0.346240,0.246299,0.277079,0.323574
-15.380843,-332.032269,0.174300,-0.145095,0.390663,0.252802,0.226788,0.341039
-11.283433,-332.032269,0.114767,-0.144474,0.423152,0.255496,0.184511,0.330604
-7.186024,-332.032269,0.066735,-0.143209,0.442236,0.256293,0.157995,0.298092
-3.088615,-332.032269,0.030757,-0.142346,0.452169,0.256488,0.145631,0.268275
1.008794,-332.032269,0.005073,-0.141880,0.456951,0.256531,0.141971,0.256887
5.106204,-332.032269,-0.012651,-0.141655,0.459128,0.256539,0.142218,0.258766
9.203613,-332.032269,-0.024579,-0.141552,0.460077,0.256541,0.143670,0.264731
13.301022,-332.032269,-0.032451,-0.141507,0.460478,0.256541,0.145180,0.270406
17.398431,-332.032269,-0.037567,-0.141488,0.460642,0.256541,0.146390,0.274688
-142.400530,-321.482518,-0.046429,-0.141474,0.460751,0.256541,0.148898,0.282941
-138.303121,-321.482518,-0.046453,-0.141474,0.460751,0.256541,0.148905,0.282964
-134.205712,-321.482518,-0.046494,-0.141474,0.460751,0.256541,0.148918,0.283005
-130.108302,-321.482518,-0.046565,-0.141474,0.460751,0.256541,0.148940,0.283074
-126.010893,-321.482518,-0.046685,-0.141474,0.460750,0.256541,0.148978,0.283191
-121.913484,-321.482518,-0.046888,-0.141474,0.460749,0.256541,0.149042,0.283391
-117.816074,-321.482518,-0.047230,-0.141474,0.460746,0.256541,0.149149,0.283728
-113.718665,-321.482518,-0.047803,-0.141473,0.460738,0.256541,0.149331,0.284292
-109.621256,-321.482518,-0.048751,-0.141472,0.460716,0.256541,0.149636,0.285233
-105.523847,-321.482518,-0.050306,-0.141468,0.460664,0.256541,0.150146,0.286788
-101.426437,-321.482518,-0.052827,-0.141458,0.460533,0.256541,0.151000,0.289339
-97.329028,-321.482518,-0.056861,-0.141432,0.460218,0.256541,0.152434,0.293473
-93.231619,-321.482518,-0.063207,-0.141366,0.459473,0.256540,0.154853,0.300036
-89.134210,-321.482518,-0.072990,-0.141200,0.457771,0.256536,0.158950,0.310035
-85.036800,-321.482518,-0.087672,-0.140788,0.454019,0.256515,0.165855,0.324057
-80.939391,-321.482518,-0.108942,-0.139776,0.446118,0.256415,0.177216,0.340754
-76.841982,-321.482518,-0.138281,-0.137319,0.430401,0.255984,0.194880,0.354688
-72.744572,-321.482518,-0.175950,-0.131530,0.401316,0.254296,0.219679,0.355669
-68.647163,-321.482518,-0.218815,-0.118873,0.352547,0.248596,0.249020,0.331737
-64.549754,-321.482518,-0.254827,-0.095835,0.282657,0.233243,0.272252,0.277013
-60.452345,-321.482518,-0.244082,-0.067122,0.208880,0.205068,0.253143,0.208615
-56.354935,-321.482518,-0.056727,-0.052286,0.175464,0.185478,0.077148,0.180133
-52.257526,-321.482518,0.111122,-0.052177,0.186116,0.193320,0.122762,0.187438
-48.160117,-321.482518,0.108108,-0.057013,0.184348,0.192719,0.122221,0.186201
-44.062708,-321.482518,0.124009,-0.056264,0.198484,0.201524,0.136176,0.199006
-39.965298,-321.482518,0.135276,-0.009705,0.220399,0.213217,0.135624,0.220363
-35.867889,-321.482518,0.058639,0.033048,0.218955,0.212342,0.067310,0.217380
-31.770480,-321.482518,0.051910,0.064486,0.209814,0.206357,0.082783,0.207723
-27.673071,-321.482518,0.199964,0.013943,0.234534,0.217517,0.200449,0.234454
-23.575661,-321.482518,0.284840,-0.077867,0.261693,0.226312,0.295292,0.259389
-19.478252,-321.482518,0.264991,-0.123498,0.316213,0.240732,0.292356,0.304121
-15.380843,-321.482518,0.203965,-0.137435,0.376074,0.251277,0.245948,0.342030
-11.283433,-321.482518,0.139133,-0.140955,0.416782,0.255165,0.198056,0.344531
-7.186024,-321.482518,0.084337,-0.141638,0.439572,0.256229,0.164846,0.314714
-3.088615,-321.482518,0.042634,-0.141665,0.451086,0.256477,0.147941,0.277877
1.008794,-321.482518,0.012760,-0.141593,0.456521,0.256529,0.142167,0.258758
5.106204,-321.482518,-0.007811,-0.141536,0.458960,0.256539,0.141751,0.257395
9.203613,-321.482518,-0.021590,-0.141504,0.460013,0.256541,0.143141,0.262926
13.301022,-321.482518,-0.030630,-0.141488,0.460454,0.256541,0.144765,0.268996
17.398431,-321.482518,-0.036469,-0.141480,0.460633,0.256541,0.146105,0.273739
-142.400530,-310.932767,-0.046422,-0.141474,0.460751,0.256541,0.148896,0.282934
